"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"134",0.470004114910418,0.0103527015302404,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.2"
"135",0.484220279888614,0.00872308557720177,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.2"
"136",0.471813700924374,0.0124536672307057,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.2"
"138",0.469744386020361,0.0122811037356538,"./pheno_1000_2yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.2"
"140",0.495710326808981,0.0123325722757083,"./pheno_1000_2yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"2yr",4,"nDH96","Ne=60","heritability: 0.2"
"142",0.492242740597774,0.00972477701323699,"./pheno_1000_2yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"2yr",6,"nDH96","Ne=60","heritability: 0.2"
"144",0.490160884757322,0.0134318606873698,"./pheno_1000_2yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"2yr",8,"nDH96","Ne=60","heritability: 0.2"
"146",0.390123219842603,0.0288509823206793,"./pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"1yr",2,"nDH96","Ne=60","heritability: 0.2"
"147",0.425786984702785,0.0290575639277157,"./pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"1yr",3,"nDH96","Ne=60","heritability: 0.2"
"148",0.402455952037344,0.0170071084703866,"./pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"1yr",4,"nDH96","Ne=60","heritability: 0.2"
"149",0.407097634704417,0.025758815565993,"./pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"1yr",5,"nDH96","Ne=60","heritability: 0.2"
"150",0.392383688337748,0.0221626078680853,"./pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"1yr",6,"nDH96","Ne=60","heritability: 0.2"
"151",0.380239609088741,0.0160697788881769,"./pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"1yr",7,"nDH96","Ne=60","heritability: 0.2"
"152",0.41179304993761,0.0218084112529689,"./pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"1yr",8,"nDH96","Ne=60","heritability: 0.2"
"154",0.313092452660334,0.0172314257361071,"./pheno_400_2yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_2yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"2yr",2,"nDH96","Ne=60","heritability: 0.2"
"156",0.381662407723272,0.015729182521481,"./pheno_400_2yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_400_2yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",400,"2yr",4,"nDH96","Ne=60","heritability: 0.2"
