"","X","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"209",209,0.678585264113454,0.0153410977501715,"./rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"2yr",6,"nDH24","Ne600","varE4"
"210",210,1.0273886512259,0.0208130584541071,"./rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"2yr",7,"nDH24","Ne600","varE4"
"211",211,0.00735722617372745,0.0112741399433134,"./rand_400_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"1yr",1,"nDH24","Ne600","varE4"
"212",212,0.00418604789931785,0.0126560815883375,"./rand_400_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"1yr",2,"nDH24","Ne600","varE4"
"213",213,0.266510731315455,0.0199314620296209,"./rand_400_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"1yr",3,"nDH24","Ne600","varE4"
"214",214,0.627069399005936,0.0248408011333966,"./rand_400_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"1yr",4,"nDH24","Ne600","varE4"
"215",215,0.983475002102011,0.0317226878169265,"./rand_400_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"1yr",5,"nDH24","Ne600","varE4"
"216",216,1.32023047540287,0.0369236228685558,"./rand_400_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"1yr",6,"nDH24","Ne600","varE4"
"217",217,1.63877112604567,0.0388265158980714,"./rand_400_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_1yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"1yr",7,"nDH24","Ne600","varE4"
"218",218,0.0160447418582964,0.0105292576692999,"./rand_400_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"2yr",1,"nDH24","Ne600","varE4"
"219",219,-0.0182293957821007,0.0110956391694978,"./rand_400_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"2yr",2,"nDH24","Ne600","varE4"
"220",220,0.293610154981856,0.0167947162637616,"./rand_400_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"2yr",3,"nDH24","Ne600","varE4"
"221",221,0.259072755489942,0.0178656915285154,"./rand_400_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"2yr",4,"nDH24","Ne600","varE4"
"222",222,0.653931365508905,0.0230783397431771,"./rand_400_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"2yr",5,"nDH24","Ne600","varE4"
"223",223,0.622686778877773,0.0255839880215883,"./rand_400_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"2yr",6,"nDH24","Ne600","varE4"
"224",224,1.00999221704934,0.0297478054719588,"./rand_400_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne600_Mean_GP","rand",400,"2yr",7,"nDH24","Ne600","varE4"
